Timestamp,Participant ID,Participant Name,Block Number,Frequency (Hz),Tone Type,Replication,Threshold (dB),Total Trials,Total Reversals,Fine Reversals
2026-02-23T18:07:39.714759,P597142ohus,Participant_A,1,250,sine,1,1.582,26,10,7
2026-02-23T18:52:39.714759,P597142ohus,Participant_A,2,250,triangle,2,2.016,27,10,8
2026-02-23T19:37:39.714759,P597142ohus,Participant_A,3,1000,sine,2,1.446,32,11,9
2026-02-23T20:22:39.714759,P597142ohus,Participant_A,4,250,triangle,1,1.341,35,15,12
2026-02-23T21:07:39.714759,P597142ohus,Participant_A,5,1000,triangle,2,1.479,32,13,10
2026-02-23T21:52:39.714759,P597142ohus,Participant_A,6,1000,sine,1,2.565,25,9,7
2026-02-23T22:37:39.714759,P597142ohus,Participant_A,7,1000,triangle,1,1.894,33,15,12
2026-02-23T23:22:39.714759,P597142ohus,Participant_A,8,250,sine,2,2.733,33,12,12
2026-02-26T18:07:39.716797,P60716nlwo1,Participant_B,1,250,sine,2,1.476,34,14,11
2026-02-26T18:52:39.716797,P60716nlwo1,Participant_B,2,1000,triangle,1,2.353,31,12,10
2026-02-26T19:37:39.716797,P60716nlwo1,Participant_B,3,1000,sine,2,2.931,25,8,7
2026-02-26T20:22:39.716797,P60716nlwo1,Participant_B,4,250,sine,1,3.179,27,10,10
2026-02-26T21:07:39.716797,P60716nlwo1,Participant_B,5,1000,sine,1,3.464,28,10,9
2026-02-26T21:52:39.716797,P60716nlwo1,Participant_B,6,250,triangle,2,2.988,27,12,9
2026-02-26T22:37:39.716797,P60716nlwo1,Participant_B,7,1000,triangle,2,3.089,26,9,8
2026-02-26T23:22:39.716797,P60716nlwo1,Participant_B,8,250,triangle,1,2.482,29,12,10
2026-03-01T18:07:39.718444,P61718amda5,Participant_C,1,250,sine,2,2.135,29,10,8
2026-03-01T18:52:39.718444,P61718amda5,Participant_C,2,1000,triangle,1,1.364,35,14,11
2026-03-01T19:37:39.718444,P61718amda5,Participant_C,3,250,sine,1,1.211,32,12,10
2026-03-01T20:22:39.718444,P61718amda5,Participant_C,4,250,triangle,1,2.54,30,12,9
2026-03-01T21:07:39.718444,P61718amda5,Participant_C,5,1000,sine,2,1.7,34,14,11
2026-03-01T21:52:39.718444,P61718amda5,Participant_C,6,1000,sine,1,1.333,32,12,9
2026-03-01T22:37:39.718444,P61718amda5,Participant_C,7,1000,triangle,2,1.465,35,15,13
2026-03-01T23:22:39.718444,P61718amda5,Participant_C,8,250,triangle,2,2.297,32,13,11
2026-03-04T18:07:39.720306,P62720fx62v,Participant_D,1,250,triangle,2,1.4,32,13,10
2026-03-04T18:52:39.720306,P62720fx62v,Participant_D,2,1000,sine,2,0.804,32,12,9
2026-03-04T19:37:39.720306,P62720fx62v,Participant_D,3,1000,sine,1,3.696,28,10,10
2026-03-04T20:22:39.720306,P62720fx62v,Participant_D,4,250,sine,1,1.685,30,11,8
2026-03-04T21:07:39.720306,P62720fx62v,Participant_D,5,250,sine,2,1.98,33,13,10
2026-03-04T21:52:39.720306,P62720fx62v,Participant_D,6,1000,triangle,2,1.122,34,12,9
2026-03-04T22:37:39.720306,P62720fx62v,Participant_D,7,1000,triangle,1,2.518,33,13,10
2026-03-04T23:22:39.720306,P62720fx62v,Participant_D,8,250,triangle,1,3.857,25,9,9
2026-03-07T18:07:39.722107,P63722ioyek,Participant_E,1,250,sine,1,3.44,30,11,11
2026-03-07T18:52:39.722107,P63722ioyek,Participant_E,2,1000,triangle,2,1.902,26,10,8
2026-03-07T19:37:39.722107,P63722ioyek,Participant_E,3,250,triangle,1,2.399,34,13,13
2026-03-07T20:22:39.722107,P63722ioyek,Participant_E,4,1000,triangle,1,1.371,34,12,10
2026-03-07T21:07:39.722107,P63722ioyek,Participant_E,5,250,sine,2,1.431,30,10,8
2026-03-07T21:52:39.722107,P63722ioyek,Participant_E,6,1000,sine,1,1.375,32,13,10
2026-03-07T22:37:39.722107,P63722ioyek,Participant_E,7,250,triangle,2,3.869,25,8,8
2026-03-07T23:22:39.722107,P63722ioyek,Participant_E,8,1000,sine,2,0.842,31,13,10
